"Your 7-day trial for 'CreativeFlow Pro' is ending soon. Your card will be charged $49.99. Manage subscription here.",0
"The courier was unable to deliver your parcel as no one was home. Redeliver for free via the official app.",0
"Hi, I'm the new intern! Could you point me toward the latest onboarding documentation?",0
"Your monthly utility bill is ready. Log in to your account to view the breakdown and pay.",0
"Reminder: The team lunch has been moved to the Italian place down the street. See you there!",0
"Can you verify the transaction ID for the refund we processed yesterday?",0
"I've attached the floor plan for the new office space. Let me know if the seating works.",0
"New App Request: 'CalendarSync+' wants access to your Google Drive and Contacts. Click 'Allow' to finish setup: http://oauth-approval-verify.com",1
"Urgent Security Update: Your Bitwarden vault has been accessed from an unknown IP. If this was not you, click here to kill all sessions.",1
"From HR: Your performance review is now available. This document is encrypted for your privacy. Use your Windows password to open: http://hr-portal-docs.com",1
"Final Notice: You have an outstanding balance of $2.40 on your toll road account. Failure to pay will result in a $50 fine. Pay now.",1
"Alert: Your Coinbase account is being recovered by a new device. If you did not request this, move your funds to a safe wallet immediately: http://cold-storage-auth.io",1
"Message from Support: We detected a bug in your account settings. Please follow these steps to secure your data before it is deleted.",1
"You have been mentioned in a comment on 'Leaked_Staff_Salaries'. View the document here to see what others are saying.",1
"STOP EVERYTHING! This $0.10 stock is predicted to hit $50 by Friday. Don't miss the next big moon shot. Buy now on our exchange.",2
"Your email has been blacklisted. To resume sending messages, you must verify your identity by completing this short survey.",2
"Unlock your full potential with our 'Alpha Mindset' course. 95% off for the first 100 students. Change your life today.",2
"Get paid to watch movie trailers! Join our research panel and earn up to $30 per hour from your sofa. Sign up for free.",2
"A relative has left you an inheritance of $2.5 million. Please contact the legal representative in London to begin the transfer.",2
"Tired of your 9-5? Use this automated trading bot to make money while you sleep. Results guaranteed by our AI algorithms.",2
"Hey, it's the IT department. We're doing a routine server migration. Can you provide your temporary password for the sync?",1
"The meeting link has changed. Please use this one instead for the budget review.",0
"Your subscription to 'NewsDaily' has been successfully cancelled. We're sorry to see you go.",0
"Congratulations on 5 years with the company! Check your inbox for a special anniversary gift from the CEO.",0
"Your flight UA452 is delayed by 30 minutes. Check the updated gate information on our website.",0
"The library book 'The Great Gatsby' is due in 3 days. Renew online to avoid late fees.",0
"Your password for 'DesignTool' was changed successfully. If you didn't do this, contact support.",0
"Weekly Sync: Please add your project updates to the shared slide deck before 9 AM tomorrow.",0
"Welcome to the team! Your workstation is set up on the 4th floor. Your badge is at reception.",0
"Your prescription is ready for pickup at the pharmacy. Please bring your ID.",0
"Order Confirmed: Your meal from 'Burger Palace' is being prepared and will arrive in 20 minutes.",0
"Please find the minutes from this morning's brainstorm session attached for your review.",0
"IT Alert: Your laptop is broadcasting a 'Critical Error' signal. Download this diagnostic tool to fix it.",1
"Your Adobe Creative Cloud license has expired. Re-authenticate your account to keep your files: http://adobe-verify-login.net",1
"From Payroll: There was a discrepancy in your last direct deposit. Please re-enter your routing number here.",1
"Internal Memo: A new health policy has been implemented. Click the link to sign the mandatory waiver.",1
